,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,A.J. Price,IND,23.0,100.52,0.103
1,Aaron Brooks,HOU,25.0,96.77,0.103
2,Aaron Gray,NOH,25.0,93.0,0.101
3,Acie Law,CHI,25.0,96.77,0.097
4,Adam Morrison,LAL,25.0,94.99,0.047
5,Al Harrington,NYK,30.0,96.43,0.104
6,Al Horford,ATL,24.0,91.46,0.132
7,Al Jefferson,MIN,25.0,97.32,0.131
8,Al Thornton,WAS,26.0,93.08,0.069
9,Alando Tucker,MIN,26.0,97.8,0.068
10,Alexis Ajinca,CHA,22.0,90.97,0.033
11,Allen Iverson,PHI,35.0,94.59,0.092
12,Alonzo Gee,WAS,23.0,91.32,0.106
13,Amar'e Stoudemire,PHX,27.0,97.82,0.137
14,Amir Johnson,TOR,23.0,94.9,0.095
15,Anderson Varejao,CLE,27.0,92.17,0.11
16,Andray Blatche,WAS,23.0,94.27,0.12
17,Andre Iguodala,PHI,26.0,93.74,0.128
18,Andre Miller,POR,34.0,89.55,0.124
19,Andrea Bargnani,TOR,24.0,95.18,0.094
20,Andrei Kirilenko,UTA,29.0,96.3,0.124
21,Andres Nocioni,SAC,30.0,97.44,0.067
22,Andrew Bogut,MIL,25.0,93.68,0.149
23,Andrew Bynum,LAL,22.0,95.18,0.13
24,Andris Biedrins,GSW,24.0,100.94,0.095
25,Antawn Jamison,CLE,34.0,94.89,0.112
26,Anthony Carter,DEN,35.0,97.24,0.079
27,Anthony Johnson,ORL,35.0,94.89,0.093
28,Anthony Morrow,GSW,24.0,102.19,0.087
29,Anthony Parker,CLE,35.0,94.23,0.065
30,Anthony Randolph,GSW,20.0,103.45,0.113
31,Anthony Tolliver,GSW,25.0,101.97,0.087
32,Antoine Wright,TOR,26.0,95.59,0.053
33,Antonio Anderson,OKC,25.0,111.32,-0.03
34,Antonio McDyess,SAS,35.0,92.82,0.092
35,Arron Afflalo,DEN,24.0,97.28,0.065
36,Austin Daye,DET,22.0,93.03,0.086
37,Baron Davis,LAC,31.0,96.03,0.116
38,Ben Gordon,DET,27.0,91.54,0.086
39,Ben Wallace,DET,35.0,89.82,0.107
40,Beno Udrih,SAC,27.0,96.06,0.112
41,Bobby Brown,LAC,25.0,93.86,0.067
42,Bobby Simmons,NJN,30.0,94.1,0.056
43,Boris Diaw,CHA,28.0,92.79,0.093
44,Brad Miller,CHI,34.0,96.08,0.096
45,Brandon Bass,ORL,25.0,94.41,0.097
46,Brandon Jennings,MIL,20.0,93.68,0.105
47,Brandon Roy,POR,25.0,90.07,0.143
48,Brandon Rush,IND,24.0,98.5,0.07
49,Brendan Haywood,DAL,30.0,94.27,0.102
50,Brian Cardinal,MIN,33.0,99.34,0.026
51,Brian Cook,HOU,29.0,107.86,0.015
52,Brian Scalabrine,BOS,32.0,91.92,0.018
53,Brian Skinner,LAC,34.0,93.1,0.026
54,Brook Lopez,NJN,22.0,93.6,0.126
55,Byron Mullens,OKC,21.0,99.67,-0.02
56,CJ Miles,UTA,23.0,96.9,0.06
57,CJ Watson,GSW,26.0,102.33,0.09
58,Carl Landry,SAC,26.0,95.4,0.121
59,Carlos Arroyo,MIA,30.0,89.81,0.093
60,Carlos Boozer,UTA,28.0,96.39,0.163
61,Carlos Delfino,MIL,27.0,93.27,0.103
62,Carmelo Anthony,DEN,26.0,97.1,0.14
63,Caron Butler,DAL,30.0,95.07,0.095
64,Cartier Martin,WAS,25.0,99.57,0.051
65,Cedric Jackson,WAS,24.0,99.69,0.036
66,Channing Frye,PHX,27.0,97.43,0.091
67,Charles Hayes,HOU,27.0,95.33,0.077
68,Charlie Bell,MIL,31.0,94.78,0.048
69,Charlie Villanueva,DET,25.0,91.47,0.1
70,Chase Budinger,HOU,22.0,97.51,0.101
71,Chauncey Billups,DEN,33.0,96.93,0.138
72,Chris Andersen,DEN,31.0,97.8,0.105
73,Chris Bosh,TOR,26.0,95.19,0.167
74,Chris Douglas-Roberts,NJN,23.0,93.76,0.081
75,Chris Duhon,NYK,27.0,96.03,0.077
76,Chris Hunter,GSW,25.0,102.24,0.061
77,Chris Kaman,LAC,28.0,95.36,0.118
78,Chris Paul,NOH,25.0,93.48,0.167
79,Chris Quinn,NJN,26.0,92.33,0.072
80,Chris Richard,CHI,25.0,95.28,0.033
81,Chris Wilcox,DET,27.0,91.89,0.072
82,Chucky Atkins,DET,35.0,91.21,0.054
83,Coby Karl,GSW,27.0,100.34,0.037
84,Corey Brewer,MIN,24.0,98.49,0.067
85,Corey Maggette,GSW,30.0,103.4,0.127
86,Courtney Lee,NJN,24.0,93.42,0.08
87,Craig Smith,LAC,26.0,92.17,0.113
88,D.J. Augustin,CHA,22.0,91.94,0.083
89,DJ Mbenga,LAL,29.0,92.11,0.065
90,DJ White,OKC,23.0,98.43,0.157
91,DaJuan Summers,DET,22.0,93.41,0.03
92,Daequan Cook,MIA,23.0,90.06,0.058
93,Dahntay Jones,IND,29.0,99.84,0.069
94,Damien Wilkins,MIN,30.0,97.52,0.075
95,Dan Gadzuric,MIL,32.0,95.84,0.054
96,Daniel Gibson,CLE,24.0,92.53,0.073
97,Danilo Gallinari,NYK,21.0,95.73,0.094
98,Danny Granger,IND,27.0,99.19,0.13
99,Danny Green,CLE,23.0,94.49,0.067
100,Dante Cunningham,POR,23.0,92.18,0.08
101,Darius Songaila,NOH,32.0,94.34,0.068
102,Darko Milicic,MIN,25.0,97.51,0.077
103,Darnell Jackson,MIL,24.0,96.99,-0.023
104,Darrell Arthur,MEM,22.0,96.04,0.06
105,Darren Collison,NOH,22.0,95.66,0.115
106,David Andersen,HOU,30.0,95.7,0.084
107,David Lee,NYK,27.0,96.3,0.158
108,David West,NOH,29.0,94.77,0.123
109,DeAndre Jordan,LAC,21.0,95.26,0.073
110,DeJuan Blair,SAS,21.0,95.07,0.114
111,DeMar DeRozan,TOR,20.0,95.56,0.066
112,DeMarre Carroll,MEM,23.0,99.67,0.043
113,DeSagana Diop,CHA,28.0,91.22,0.045
114,DeShawn Stevenson,DAL,29.0,95.27,0.022
115,Delonte West,CLE,26.0,92.91,0.104
116,Derek Fisher,LAL,35.0,95.44,0.054
117,Deron Williams,UTA,26.0,96.43,0.146
118,Derrick Brown,CHA,22.0,94.26,0.075
119,Derrick Rose,CHI,21.0,95.58,0.137
120,Desmond Mason,SAC,32.0,88.41,0.045
121,Devean George,GSW,32.0,101.91,0.064
122,Devin Brown,CHI,31.0,95.52,0.062
123,Devin Harris,NJN,27.0,94.71,0.104
124,Dirk Nowitzki,DAL,32.0,94.6,0.161
125,Dominic McGuire,SAC,24.0,94.89,0.036
126,Donte Greene,SAC,22.0,98.08,0.07
127,Dorell Wright,MIA,24.0,90.65,0.113
128,Drew Gooden,LAC,28.0,94.59,0.105
129,Dwayne Jones,PHX,27.0,113.95,0.027
130,Dwight Howard,ORL,24.0,93.5,0.167
131,Dwyane Wade,MIA,28.0,93.92,0.178
132,Earl Barron,NYK,28.0,92.65,0.088
133,Earl Boykins,WAS,34.0,93.4,0.1
134,Earl Clark,PHX,22.0,98.89,0.061
135,Earl Watson,IND,31.0,99.02,0.079
136,Eddie House,NYK,32.0,93.73,0.075
137,Eddy Curry,NYK,27.0,104.15,-0.051
