,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,NET_RATING,USG_PCT,TS_PCT
0,201985,A.J. Price,1610612739,CLE,28.0,74.0,195,-12.2,0.226,0.451
1,201166,Aaron Brooks,1610612741,CHI,30.0,72.0,161,5.2,0.252,0.534
2,203932,Aaron Gordon,1610612753,ORL,19.0,81.0,220,-5.6,0.156,0.517
3,203940,Adreian Payne,1610612750,MIN,24.0,82.0,245,-16.9,0.176,0.443
4,201143,Al Horford,1610612737,ATL,29.0,82.0,250,6.6,0.225,0.563
5,2744,Al Jefferson,1610612766,CHA,30.0,82.0,289,-3.7,0.267,0.5
6,202329,Al-Farouq Aminu,1610612742,DAL,24.0,81.0,215,5.7,0.151,0.504
7,101187,Alan Anderson,1610612751,BKN,32.0,78.0,220,-1.4,0.142,0.563
8,202692,Alec Burks,1610612762,UTA,23.0,78.0,211,-7.4,0.21,0.524
9,203945,Alex Kirk,1610612739,CLE,23.0,84.0,245,-61.8,0.17,0.41
10,203458,Alex Len,1610612756,PHX,22.0,85.0,255,0.5,0.135,0.542
11,203144,Alexey Shved,1610612752,NYK,26.0,78.0,187,-8.5,0.258,0.541
12,201582,Alexis Ajinca,1610612740,NOP,27.0,86.0,248,-0.6,0.214,0.595
13,203459,Allen Crabbe,1610612757,POR,23.0,78.0,210,-1.8,0.115,0.525
14,202087,Alonzo Gee,1610612757,POR,28.0,78.0,225,-5.6,0.168,0.548
15,2405,Amar'e Stoudemire,1610612742,DAL,32.0,82.0,245,-4.9,0.238,0.595
16,101161,Amir Johnson,1610612761,TOR,28.0,81.0,240,2.3,0.157,0.603
17,2760,Anderson Varejao,1610612739,CLE,32.0,83.0,267,-1.0,0.185,0.58
18,203958,Andre Dawkins,1610612748,MIA,23.0,77.0,219,-18.3,0.153,0.25
19,203083,Andre Drummond,1610612765,DET,21.0,83.0,279,-2.1,0.219,0.504
20,2738,Andre Iguodala,1610612744,GSW,31.0,78.0,215,12.2,0.135,0.553
21,1889,Andre Miller,1610612758,SAC,39.0,74.0,200,-4.4,0.155,0.548
22,203460,Andre Roberson,1610612760,OKC,23.0,79.0,210,5.1,0.089,0.513
23,200745,Andrea Bargnani,1610612752,NYK,29.0,84.0,245,-17.5,0.262,0.527
24,1905,Andrei Kirilenko,1610612751,BKN,34.0,81.0,235,-39.3,0.092,0.222
25,101106,Andrew Bogut,1610612744,GSW,30.0,84.0,260,16.6,0.133,0.565
26,203094,Andrew Nicholson,1610612753,ORL,25.0,81.0,250,-7.9,0.213,0.483
27,203952,Andrew Wiggins,1610612750,MIN,20.0,80.0,199,-10.1,0.226,0.517
28,203461,Anthony Bennett,1610612750,MIN,22.0,80.0,245,-16.5,0.176,0.458
29,203076,Anthony Davis,1610612740,NOP,22.0,82.0,220,5.1,0.276,0.591
30,201627,Anthony Morrow,1610612760,OKC,29.0,77.0,210,4.4,0.164,0.604
31,201229,Anthony Tolliver,1610612765,DET,30.0,80.0,240,3.2,0.148,0.569
32,203462,Archie Goodwin,1610612756,PHX,20.0,77.0,198,-15.4,0.23,0.486
33,202620,Arinze Onuaku,1610612750,MIN,27.0,81.0,275,-9.7,0.125,0.771
34,203382,Aron Baynes,1610612759,SAS,28.0,82.0,260,6.8,0.176,0.618
35,201167,Arron Afflalo,1610612757,POR,29.0,77.0,215,-1.2,0.191,0.533
36,201948,Austin Daye,1610612737,ATL,27.0,83.0,220,-3.1,0.217,0.449
37,203085,Austin Rivers,1610612746,LAC,22.0,76.0,200,-3.2,0.179,0.481
38,202340,Avery Bradley,1610612738,BOS,24.0,74.0,180,-2.4,0.21,0.507
39,2732,Ben Gordon,1610612753,ORL,32.0,75.0,205,-9.0,0.22,0.538
40,203463,Ben McLemore,1610612758,SAC,22.0,77.0,195,-1.3,0.172,0.552
41,2757,Beno Udrih,1610612763,MEM,32.0,75.0,205,0.2,0.197,0.55
42,203108,Bernard James,1610612742,DAL,30.0,82.0,235,-1.7,0.12,0.593
43,202687,Bismack Biyombo,1610612766,CHA,22.0,81.0,245,-1.2,0.115,0.578
44,201933,Blake Griffin,1610612746,LAC,26.0,82.0,251,11.5,0.281,0.551
45,202711,Bojan Bogdanovic,1610612751,BKN,26.0,80.0,216,-4.9,0.172,0.562
46,2564,Boris Diaw,1610612759,SAS,33.0,80.0,250,6.7,0.183,0.526
47,203078,Bradley Beal,1610612764,WAS,22.0,77.0,207,5.8,0.226,0.521
48,201148,Brandan Wright,1610612756,PHX,27.0,82.0,210,0.1,0.138,0.66
49,101138,Brandon Bass,1610612738,BOS,30.0,80.0,250,-2.1,0.2,0.557
50,203561,Brandon Davies,1610612755,PHI,23.0,82.0,240,-19.1,0.186,0.463
51,201943,Brandon Jennings,1610612765,DET,25.0,73.0,169,0.8,0.254,0.522
52,202688,Brandon Knight,1610612756,PHX,23.0,75.0,189,-1.1,0.254,0.543
53,201575,Brandon Rush,1610612744,GSW,29.0,78.0,220,-18.9,0.111,0.255
54,2217,Brendan Haywood,1610612739,CLE,35.0,84.0,263,-21.3,0.181,0.49
55,203148,Brian Roberts,1610612766,CHA,29.0,73.0,173,-4.2,0.187,0.495
56,201572,Brook Lopez,1610612751,BKN,27.0,84.0,275,-2.5,0.262,0.558
57,203998,Bruno Caboclo,1610612761,TOR,19.0,81.0,205,-60.3,0.315,0.417
58,203955,Bryce Cotton,1610612762,UTA,22.0,73.0,165,-0.4,0.237,0.52
59,203468,CJ McCollum,1610612757,POR,23.0,76.0,200,5.3,0.205,0.534
60,101139,CJ Miles,1610612754,IND,28.0,78.0,231,4.0,0.235,0.525
61,201228,CJ Watson,1610612754,IND,31.0,74.0,175,-0.6,0.185,0.581
62,203912,CJ Wilcox,1610612746,LAC,24.0,77.0,195,-10.9,0.223,0.527
63,203946,Cameron Bairstow,1610612741,CHI,24.0,81.0,250,-16.5,0.14,0.309
64,201171,Carl Landry,1610612758,SAC,31.0,81.0,248,-9.2,0.182,0.578
65,2430,Carlos Boozer,1610612747,LAL,33.0,81.0,258,-9.2,0.235,0.517
66,2546,Carmelo Anthony,1610612752,NYK,31.0,80.0,240,-4.2,0.324,0.531
67,2406,Caron Butler,1610612765,DET,35.0,79.0,228,-1.8,0.132,0.544
68,201858,Cartier Martin,1610612765,DET,30.0,79.0,220,2.3,0.128,0.34
69,202718,Chandler Parsons,1610612742,DAL,26.0,81.0,227,4.6,0.205,0.567
70,101112,Channing Frye,1610612753,ORL,32.0,83.0,255,-7.6,0.141,0.546
71,101236,Charles Hayes,1610612761,TOR,32.0,78.0,240,7.6,0.106,0.492
72,101111,Charlie Villanueva,1610612742,DAL,30.0,83.0,232,-3.3,0.261,0.534
73,201978,Chase Budinger,1610612750,MIN,27.0,79.0,209,-10.5,0.165,0.537
74,2365,Chris Andersen,1610612748,MIA,36.0,82.0,245,0.5,0.125,0.622
75,2547,Chris Bosh,1610612748,MIA,31.0,83.0,235,-2.2,0.29,0.548
76,203142,Chris Copeland,1610612754,IND,31.0,80.0,235,-3.9,0.212,0.468
