,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,22,27,3,1996,MIL
GSW,20,32,3,1996,GSW
MIN,15,20,1,1996,MIN
MIA,19,18,2,1996,MIA
ATL,22,26,3,1996,ATL
BOS,24,29,5,1996,BOS
DET,23,23,3,1996,DET
NYK,20,22,3,1996,NYK
DEN,18,26,5,1996,DEN
SAC,17,21,3,1996,SAC
POR,21,32,5,1996,POR
NJN,23,30,4,1996,NJN
TOR,19,25,4,1996,TOR
SEA,18,24,2,1996,SEA
CLE,23,24,5,1996,CLE
SAS,18,23,4,1996,SAS
UTA,18,25,4,1996,UTA
VAN,18,30,4,1996,VAN
CHH,21,22,1,1996,CHH
CHI,22,23,4,1996,CHI
HOU,15,20,2,1996,HOU
WAS,24,28,5,1996,WAS
LAL,20,28,3,1996,LAL
PHI,24,27,3,1996,PHI
LAC,21,26,2,1996,LAC
DAL,19,23,2,1996,DAL
ORL,18,22,1,1996,ORL
PHX,18,24,2,1996,PHX
IND,23,25,3,1996,IND
