,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,21,26,4,2013,MIL
GSW,15,22,1,2013,GSW
MIN,21,26,2,2013,MIN
TOR,18,25,1,2013,TOR
ATL,21,25,5,2013,ATL
BOS,20,33,2,2013,BOS
DET,20,29,3,2013,DET
NYK,18,24,4,2013,NYK
DEN,14,21,1,2013,DEN
DAL,16,21,2,2013,DAL
BKN,20,21,2,2013,BKN
POR,19,28,3,2013,POR
OKC,15,21,1,2013,OKC
MIA,17,25,3,2013,MIA
CHI,17,29,2,2013,CHI
SAS,19,26,1,2013,SAS
CHA,22,29,3,2013,CHA
UTA,21,27,1,2013,UTA
CLE,20,26,2,2013,CLE
HOU,20,27,3,2013,HOU
WAS,20,25,3,2013,WAS
LAL,19,27,2,2013,LAL
PHI,20,28,0,2013,PHI
MEM,18,24,3,2013,MEM
LAC,17,24,1,2013,LAC
SAC,19,23,1,2013,SAC
ORL,18,24,1,2013,ORL
PHX,18,27,2,2013,PHX
IND,20,25,3,2013,IND
NOP,19,26,2,2013,NOP
