,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
0,Aaron McKie,PHI,32.0,97.85,0.066
1,Aaron Williams,TOR,33.0,93.98,0.02
2,Adonal Foyle,GSW,30.0,95.2,0.072
3,Adrian Griffin,CHI,30.0,95.7,0.09
4,Al Harrington,ATL,25.0,92.89,0.095
5,Al Jefferson,BOS,20.0,94.84,0.102
6,Alan Henderson,DAL,32.0,94.24,0.075
7,Aleksandar Radojevic,UTA,28.0,92.27,-0.039
8,Alex Garcia,NOH,25.0,87.77,0.052
9,Allan Houston,NYK,34.0,91.79,0.07
10,Allen Iverson,PHI,30.0,98.22,0.161
11,Alonzo Mourning,MIA,35.0,89.4,0.12
12,Amar'e Stoudemire,PHX,22.0,98.18,0.152
13,Anderson Varejao,CLE,22.0,91.19,0.106
14,Andre Barrett,ORL,23.0,93.64,0.056
15,Andre Emmett,MEM,22.0,89.34,-0.044
16,Andre Iguodala,PHI,21.0,97.68,0.1
17,Andre Miller,DEN,29.0,95.69,0.122
18,Andrei Kirilenko,UTA,24.0,90.08,0.172
19,Andres Nocioni,CHI,25.0,96.03,0.083
20,Andrew DeClercq,ORL,32.0,95.7,-0.025
21,Andris Biedrins,GSW,19.0,94.0,0.07
22,Anfernee Hardaway,NYK,33.0,92.33,0.058
23,Ansu Sesay,GSW,28.0,96.42,0.106
24,Antawn Jamison,WAS,29.0,97.32,0.113
25,Anthony Carter,MIN,30.0,91.56,0.082
26,Anthony Goldwire,MIL,33.0,91.07,0.108
27,Anthony Johnson,IND,30.0,88.68,0.108
28,Anthony Miller,ATL,33.0,122.03,0.14
29,Anthony Peeler,WAS,35.0,94.76,0.075
30,Antoine Walker,BOS,28.0,94.13,0.109
31,Antonio Burks,MEM,25.0,87.47,0.09
32,Antonio Daniels,SEA,30.0,92.1,0.133
33,Antonio Davis,CHI,36.0,94.22,0.089
34,Antonio McDyess,DET,30.0,88.89,0.121
35,Austin Croshere,IND,30.0,90.64,0.097
36,Awvee Storey,NJN,28.0,90.33,0.015
