,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,16,21,6,1998,MIL
GSW,18,24,9,1998,GSW
MIN,17,19,10,1998,MIN
TOR,18,22,9,1998,TOR
ATL,17,27,8,1998,ATL
BOS,17,25,11,1998,BOS
DET,13,17,5,1998,DET
NYK,17,22,10,1998,NYK
DEN,16,24,9,1998,DEN
SAC,17,19,7,1998,SAC
POR,20,26,11,1998,POR
NJN,18,24,5,1998,NJN
MIA,20,23,9,1998,MIA
SEA,17,20,7,1998,SEA
CHI,17,24,8,1998,CHI
SAS,15,19,7,1998,SAS
UTA,16,20,9,1998,UTA
VAN,14,22,5,1998,VAN
CHH,17,26,3,1998,CHH
CLE,17,22,6,1998,CLE
HOU,17,22,5,1998,HOU
WAS,16,20,8,1998,WAS
LAL,17,23,10,1998,LAL
PHI,15,21,4,1998,PHI
LAC,17,26,8,1998,LAC
DAL,16,22,7,1998,DAL
ORL,17,28,6,1998,ORL
PHX,17,23,10,1998,PHX
IND,16,22,6,1998,IND
